steps,return
1280.0,-1.080817213519006
2560.0,-0.8763059845123182
3840.0,-0.6911371160711287
5120.0,-0.5734353695283181
6400.0,-0.45847752101499567
7680.0,-0.3767520834193838
8960.0,-0.3125640846360186
10240.0,-0.28109542907670154
11520.0,-0.24702559306928826
12800.0,-0.24905844277003808
14080.0,-0.22680482283839049
15360.0,-0.2364716014583322
16640.0,-0.22726003436993317
17920.0,-0.22491120148330418
19200.0,-0.2250491445700097
20480.0,-0.22190347181878445
21760.0,-0.20395889409420087
23040.0,-0.2026536157732505
24320.0,-0.19990559974386093
25600.0,-0.20440719011495473
26880.0,-0.20213850753867468
28160.0,-0.204854722505063
29440.0,-0.2010943456607056
30720.0,-0.20484150367534187
32000.0,-0.21000953311112464
33280.0,-0.20324073348050534
34560.0,-0.20059525002275871
35840.0,-0.19180536531472497
37120.0,-0.1947355826186395
38400.0,-0.19920734345804025
39680.0,-0.19620603529220315
40960.0,-0.19396811448263587
42240.0,-0.19897003519656098
43520.0,-0.19920920864854744
44800.0,-0.1991688526429524
46080.0,-0.19127764971864616
47360.0,-0.201262156636314
48640.0,-0.18415037691542527
49920.0,-0.19257621294970972
51200.0,-0.191380520793197
52480.0,-0.19214753511926239
53760.0,-0.19349005811898595
55040.0,-0.18939420140868704
56320.0,-0.1883782907805241
57600.0,-0.20076756453428563
58880.0,-0.19736523580680243
60160.0,-0.18126079531482964
61440.0,-0.1915452136562256
62720.0,-0.1813106100964179
64000.0,-0.18950970154688568
