steps,return
17241.0,-3.062248702564545
34990.0,-6.262020189604592
49518.0,-4.498660593113155
63713.0,-8.04133634999035
77626.0,-8.837060066529228
93011.0,-11.916141562201865
105641.0,-12.479365247030252
117520.0,-10.504299554250487
129323.0,-11.221552756793185
142426.0,-6.996208204053043
155532.0,-3.711527748997998
165200.0,-14.54356917655885
178984.0,-11.699876211842485
189024.0,-11.99882829733131
195592.0,-12.635921320682213
207562.0,-6.692678231454231
218172.0,-13.884443991299838
229463.0,-8.111596056337936
243596.0,-16.63764623919974
255085.0,-24.303481262892085
271955.0,-19.36219331138524
285280.0,-14.823333604289962
298021.0,-20.634013707891434
308970.0,-12.859329949803195
317737.0,-17.293227174086667
328232.0,-11.483195760707948
334819.0,-14.790504805697203
343828.0,-19.123575891327036
355790.0,-25.414306496643857
364101.0,-17.55742601292534
370882.0,-17.871643503382288
380796.0,-18.8031258446511
398818.0,-16.532974372598105
407313.0,-21.244146804434497
419852.0,-28.449913834817657
435565.0,-36.961850450560185
446072.0,-20.724931545672963
460050.0,-40.50183148011219
474285.0,-40.20864923842361
488342.0,-40.19571930955365
503694.0,-45.99728504341609
513684.0,-31.221203109072185
527837.0,-34.48458631116239
544076.0,-33.50458484024954
563228.0,-24.835440531443645
579392.0,-33.11294444664889
592636.0,-37.33182045192206
612236.0,-31.35884021191961
628529.0,-29.71824031586695
645672.0,-35.40200457682182
