index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
5,0.0,5724,9958,10546,6823,0.0,4866,8603,9694,5516
4,0.0,5705,9958,10546,6813,0.0,4857,8613,9694,5525
3,0.0,5695,9948,10537,6794,0.0,4857,8623,9694,5535
2,0.0,5686,9958,10565,6784,0.0,4857,8632,9694,5544
1,0.0,5667,9958,10575,6774,0.0,4847,8642,9704,5544
0,0.0,5657,9958,10585,6765,0.0,4847,8652,9704,5554
199,0.0,5647,9948,10556,6745,0.0,4847,8681,9714,5563
198,0.0,5638,9948,10556,6716,0.0,4847,8691,9723,5563
197,0.0,5628,9948,10546,6697,0.0,4847,8710,9733,5582
196,0.0,5600,9929,10565,6677,0.0,4837,8729,9743,5582
195,0.0,5590,9920,10556,6677,0.0,4837,8749,9753,5601
194,0.0,5581,9910,10565,6648,0.0,4837,8768,9753,5611
193,0.0,5562,9891,10585,6619,0.0,4828,8787,9791,5611
192,0.0,5543,9872,10604,6600,0.0,4828,8816,9782,5630
191,0.0,5533,9863,10565,6590,0.0,4828,8846,9811,5649
190,0.0,5523,9834,10556,6532,0.0,4828,8875,9820,5659
189,0.0,5504,9825,10565,6552,0.0,4828,8894,9830,5668
188,0.0,5495,9796,10556,6522,0.0,4828,8913,9859,5687
187,0.0,5475,9787,10546,6493,0.0,4828,8942,9879,5697
186,0.0,5447,9758,10546,6474,0.0,4828,8971,9888,5716
185,0.0,5437,9739,10527,6455,0.0,4828,8991,9917,5735
184,0.0,5427,9730,10517,6416,0.0,4828,9020,9927,5745
183,0.0,5418,9692,10527,6397,0.0,4828,9039,9937,5764
182,0.0,5389,9682,10527,6377,0.0,4837,9068,9966,5783
181,0.0,5379,9663,10508,6338,0.0,4847,9088,9985,5793
180,0.0,5370,9635,10517,6319,0.0,4847,9107,10005,5812
179,0.0,5360,9616,10517,6309,0.0,4857,9136,10014,5831
178,0.0,5341,9597,10517,6280,0.0,4866,9155,10034,5850
177,0.0,5322,9578,10498,6251,0.0,4876,9175,10053,5860
176,0.0,5312,9549,10498,6242,0.0,4895,9194,10063,5889
175,0.0,5293,9540,10498,6222,0.0,4895,9213,10092,5898
