index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
153,0.0,4948,8971,10055,5670,0.0,5325,9758,10393,6416
152,0.0,4948,8962,10026,5661,0.0,5354,9777,10393,6426
151,0.0,4948,8933,10026,5641,0.0,5383,9787,10393,6445
150,0.0,4929,8913,10007,5622,0.0,5392,9806,10403,6464
149,0.0,4909,8904,9988,5612,0.0,5402,9815,10403,6493
148,0.0,4909,8884,9969,5603,0.0,5421,9834,10422,6512
147,0.0,4900,8865,9949,5603,0.0,5440,9844,10422,6541
146,0.0,4900,8846,9930,5583,0.0,5459,9853,10432,6551
145,0.0,4890,8836,9901,5573,0.0,5469,9863,10432,6570
144,0.0,4890,8816,9892,5564,0.0,5498,9872,10432,6599
143,0.0,4890,8797,9872,5555,0.0,5507,9882,10451,6618
142,0.0,4881,8787,9853,5536,0.0,5526,9901,10461,6637
141,0.0,4881,8768,9824,5526,0.0,5545,9901,10461,6656
140,0.0,4871,8758,9815,5526,0.0,5564,9910,10461,6685
139,0.0,4861,8739,9795,5517,0.0,5583,9920,10461,6704
138,0.0,4861,8720,9776,5507,0.0,5583,9920,10470,6714
137,0.0,4852,8710,9757,5497,0.0,5612,9939,10470,6733
136,0.0,4842,8700,9747,5488,0.0,5622,9958,10480,6743
135,0.0,4833,8681,9728,5478,0.0,5651,9967,10480,6771
134,0.0,4833,8662,9728,5478,0.0,5651,9967,10480,6781
133,0.0,4823,8652,9709,5469,0.0,5670,9967,10490,6800
132,0.0,4823,8642,9690,5459,0.0,5690,9967,10490,6810
131,0.0,4813,8632,9690,5459,0.0,5699,9977,10490,6829
130,0.0,4804,8613,9670,5459,0.0,5719,9977,10500,6839
129,0.0,4804,8603,9651,5449,0.0,5728,9986,10500,6848
128,0.0,4794,8603,9651,5449,0.0,5738,9986,10509,6848
127,0.0,4794,8594,9641,5449,0.0,5757,9986,10500,6858
126,0.0,4794,8594,9613,5449,0.0,5777,9986,10509,6867
125,0.0,4785,8574,9613,5449,0.0,5787,9986,10509,6887
124,0.0,4775,8574,9584,5449,0.0,5796,9986,10509,6896
123,0.0,4775,8565,9564,5449,0.0,5816,9986,10519,6896
122,0.0,4775,8565,9564,5449,0.0,5825,9986,10519,6906
121,0.0,4765,8565,9536,5459,0.0,5835,9986,10529,6906
120,0.0,4765,8565,9526,5459,0.0,5845,9986,10538,6906
119,0.0,4765,8565,9526,5449,0.0,5854,9977,10538,6906
118,0.0,4756,8565,9536,5449,0.0,5864,9967,10548,6906
117,0.0,4756,8565,9526,5449,0.0,5864,9967,10548,6906
116,0.0,4746,8565,9516,5449,0.0,5874,9967,10548,6906
115,0.0,4737,8565,9526,5449,0.0,5874,9967,10548,6896
114,0.0,4737,8565,9526,5459,0.0,5883,9958,10558,6896
113,0.0,4727,8565,9526,5449,0.0,5883,9958,10567,6887
112,0.0,4727,8565,9536,5459,0.0,5883,9939,10567,6877
111,0.0,4727,8574,9545,5459,0.0,5874,9929,10567,6867
110,0.0,4718,8584,9536,5459,0.0,5874,9920,10567,6848
109,0.0,4718,8603,9545,5459,0.0,5874,9910,10567,6848
108,0.0,4718,8594,9545,5469,0.0,5874,9901,10567,6848
107,0.0,4708,8613,9555,5469,0.0,5874,9901,10577,6848
106,0.0,4708,8642,9564,5478,0.0,5883,9901,10577,6829
105,0.0,4708,8652,9574,5488,0.0,5874,9882,10577,6819
104,0.0,4708,8662,9564,5497,0.0,5874,9872,10577,6810
103,0.0,4708,8691,9584,5517,0.0,5854,9863,10577,6791
102,0.0,4708,8710,9574,5526,0.0,5854,9853,10567,6781
101,0.0,4708,8720,9593,5536,0.0,5845,9844,10577,6762
100,0.0,4708,8739,9584,5545,0.0,5835,9834,10577,6733
99,0.0,4718,8758,9603,5555,0.0,5825,9815,10577,6714
98,0.0,4718,8778,9613,5583,0.0,5816,9806,10577,6685
97,0.0,4718,8797,9613,5593,0.0,5796,9796,10577,6666
96,0.0,4727,8826,9632,5612,0.0,5787,9787,10577,6628
95,0.0,4727,8836,9651,5632,0.0,5777,9758,10577,6608
94,0.0,4746,8855,9651,5641,0.0,5757,9749,10597,6580
93,0.0,4746,8884,9680,5670,0.0,5738,9730,10597,6551
92,0.0,4746,8913,9690,5680,0.0,5719,9711,10597,6532
91,0.0,4746,8942,9718,5709,0.0,5699,9701,10597,6493
