index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
43.0,0.0,-0.40411340316988253,0.2934158533858086,-0.2670703418927186,0.31158129001101004,0.0,-0.31779367673297365,0.32945834058503437,-0.434757956466766,0.3030951265571813
42.0,0.0,-0.4140393817079418,0.2820803720037595,-0.25945014912076064,0.324219902466632,0.0,-0.30949320672844244,0.3422847502698789,-0.4441416514775959,0.2912921723116472
41.0,0.0,-0.4237369220515328,0.270697996109693,-0.25181146885231553,0.33682917158968173,0.0,-0.30103383811580686,0.3549857863127798,-0.4532895338591487,0.2794463898762677
40.0,0.0,-0.4331955347316576,0.2592747326627694,-0.244160948935036,0.34939840074800804,0.0,-0.2924207188267359,0.36755120434155353,-0.4621862841983364,0.2675626523045783
39.0,0.0,-0.442405104051898,0.2478164773962164,-0.236505555008606,0.3619167392021289,0.0,-0.28365939576544597,0.3799709326973412,-0.470816555612565,0.255645709811315
38.0,0.0,-0.45135591946475,0.2363289246629993,-0.2288525891611438,0.3743732143454607,0.0,-0.2747552951396054,0.3922353780995035,-0.479164808839996,0.24370004747077845
37.0,0.0,-0.4600387005899293,0.2248171764790073,-0.22120987992080224,0.3867570846021264,0.0,-0.2657117084058067,0.40433672542850674,-0.4872147495029045,0.231729313944393
36.0,0.0,-0.4684448097035172,0.21328407349978598,-0.2135868747601982,0.39905922806259747,0.0,-0.25652202057064916,0.41627410533091674,-0.494946166756777,0.21973385723924496
35.0,0.0,-0.4765646872013917,0.20174010088928304,-0.20598496545317913,0.4112916064683748,0.0,-0.24717838289468896,0.4280582055546339,-0.5024525543863677,0.20775159634961027
34.0,0.0,-0.4843905392449193,0.19019283719837776,-0.19842742081075843,0.4234295711905883,0.0,-0.23775919947363705,0.43967485591120753,-0.50965802573171,0.19576974730992847
33.0,0.0,-0.4919155989848498,0.17864516520819934,-0.1909219593801321,0.4354634023941408,0.0,-0.2282356622609224,0.451087491372114,-0.5165277141444257,0.18378880536534917
32.0,0.0,-0.4991331816183088,0.16710301546689718,-0.1834785520809136,0.4473821850635728,0.0,-0.2186180389839141,0.462286899644039,-0.5230497800385563,0.1718145589846496
31.0,0.0,-0.5060372571252673,0.1555725073010907,-0.1761073094020096,0.4591744577374463,0.0,-0.20891751022503327,0.4732637582588681,-0.5292127596175848,0.1598530902777511
30.0,0.0,-0.5126224485803269,0.14406010768534275,-0.16881830433955816,0.4708279684915821,0.0,-0.19914682228903885,0.4840081388854176,-0.53500572952478,0.14791099943287878
29.0,0.0,-0.5188834052804497,0.13257214267307083,-0.16162888605822354,0.4823461181824271,0.0,-0.1893225153228791,0.4945078688352312,-0.540419427578885,0.13599522343358494
28.0,0.0,-0.5248174511999532,0.12111463218922265,-0.15455262749451634,0.4937338178854714,0.0,-0.1794533216330994,0.5047557259529383,-0.5454399859740289,0.124111250185847
27.0,0.0,-0.5304214499602194,0.10969460223322611,-0.14758894384321816,0.5049413643548425,0.0,-0.1695468948854051,0.5147454146597549,-0.5500526071182442,0.11226501899362218
26.0,0.0,-0.5356933295565212,0.0983168664363904,-0.1407493435069508,0.5159538381985443,0.0,-0.1596048329123095,0.5244753559371498,-0.5542399143090132,0.1004605291822748
25.0,0.0,-0.5406309734046276,0.08699183898361193,-0.1340382238313966,0.5267752221004707,0.0,-0.1496129030706942,0.533959145594886,-0.5580813864200148,0.08872359356615844
24.0,0.0,-0.5452333937712026,0.0757311840464406,-0.12747075493422472,0.5373861534393934,0.0,-0.13962230074437687,0.5431712311638959,-0.5615681563417322,0.0770569158914119
23.0,0.0,-0.549501754675678,0.06454207334195723,-0.1210615380968643,0.5477616420474769,0.0,-0.129657328296987,0.5520978815765604,-0.5646339843155708,0.06546747661353551
22.0,0.0,-0.5534375261444607,0.05343571590552869,-0.11481734023599365,0.5578822253883775,0.0,-0.11974248304458475,0.5607251976412472,-0.5672740459122262,0.05396766438796061
21.0,0.0,-0.557043127243036,0.04242249609721143,-0.10872494625625233,0.5677455777256895,0.0,-0.10991046041169235,0.569033985583006,-0.5694886387322392,0.042570185775264766
20.0,0.0,-0.5603223765965991,0.03151297091029208,-0.102769837662678,0.5773501632382002,0.0,-0.10018883699305708,0.5770104534331356,-0.5712768232365153,0.03128761139003636
19.0,0.0,-0.5632802467625656,0.020719601469650847,-0.09695001038886307,0.586677138845664,0.0,-0.09060042538748288,0.584645164368366,-0.5726350477432247,0.020133638979246513
18.0,0.0,-0.5659229118358323,0.010056302294650106,-0.0912651790411731,0.5957017910065272,0.0,-0.08116794575924487,0.5919287283365235,-0.5735588085762356,0.009123264614207115
17.0,0.0,-0.5682578612997571,-0.00046178263825271326,-0.08571318169420626,0.6043964108470202,0.0,-0.07191468302700345,0.598850906642018,-0.5740425084228906,-0.001727303890191947
16.0,0.0,-0.5702938559776708,-0.010818899136272264,-0.08028877203388372,0.6127312476758772,0.0,-0.06286288186154583,0.6054013230215133,-0.5740779925983727,-0.01240110000277732
15.0,0.0,-0.5720412040407492,-0.021003128611213263,-0.07497487320469677,0.6206900466771937,0.0,-0.05401747904343537,0.6115810977077751,-0.5736456458177231,-0.022878339481455016
14.0,0.0,-0.5735095379351192,-0.030983541109839162,-0.06975605120374313,0.6282616501915697,0.0,-0.04538764053001621,0.6173976908853942,-0.572920511435755,-0.033155236721697484
13.0,0.0,-0.5747134898963155,-0.040743058254893695,-0.06464147781164503,0.6353750300753171,0.0,-0.037036451219601536,0.6228142974225628,-0.5717499018050296,-0.043193645608014794
12.0,0.0,-0.5756682692959679,-0.05025830084155055,-0.059615504545458727,0.6419822175386188,0.0,-0.028991030618933995,0.6278126106096928,-0.5701184079573209,-0.05296885459444418
11.0,0.0,-0.5763901765273962,-0.05950877033898379,-0.0546525003990553,0.6480366888996539,0.0,-0.021269355229074076,0.6323765833661888,-0.5679977800317132,-0.06245697060533556
10.0,0.0,-0.5768927194413364,-0.06852363438337912,-0.04967091264674949,0.653580425333266,0.0,-0.01379281771852045,0.63655637222198,-0.5652951069582326,-0.07165871895671612
9.0,0.0,-0.5771744539948742,-0.07725802854463094,-0.0443575447466666,0.6592255410805893,0.0,-0.0060116055701326925,0.6408332929698404,-0.5635815435966327,-0.08041010682675173
8.0,0.0,-0.5772507985372058,-0.08558766205493577,-0.039084851995382586,0.6645452024944837,0.0,0.0014237236823355162,0.6449247080434806,-0.5627614837904756,-0.08895841234369978
