steps,return
35998.0,-0.6225368273207764
69599.0,8.52233281109755
105726.0,456.20430035888376
143473.0,317.25730427276346
186417.0,104.68269522891241
242715.0,450.203991324449
314243.0,395.9633290906243
386226.0,227.177531968995
444033.0,370.99714177599407
528528.0,348.7080714172105
607640.0,420.3988693077968
672104.0,401.6380466176229
747706.0,-0.05520178113111832
832362.0,383.5150485758092
911095.0,426.3294493626084
993778.0,437.73617621788594
1079631.0,448.63612967041985
1169357.0,468.42183195993283
1248931.0,444.4914614960747
1319273.0,430.5067116745019
1399819.0,463.39029124688443
1483055.0,416.02882225876067
1570459.0,420.2032667173683
1652559.0,354.1901908396873
1739637.0,380.1472539578787
1827137.0,303.15164388654136
1920111.0,292.6585789473602
2013487.0,795.5258552278677
2109965.0,779.4207647025916
2208915.0,797.269379049114
