steps,return
40000.0,-0.5149361607923402
80000.0,-3.0751595583436395
120000.0,-8.60762224872223
160000.0,-3.9984988862732282
200000.0,-4.954653143652829
240000.0,-8.655349082620575
280000.0,-24.349004343617835
320000.0,-24.831271322960916
360000.0,-30.222367372602655
400000.0,-26.322768916565757
440000.0,-28.751242889096307
480000.0,-33.87922260543328
520000.0,-36.865681148976016
560000.0,-29.355743185736163
600000.0,-30.234621453162866
640000.0,-28.351721134159902
680000.0,-37.95161025438915
720000.0,-21.817838898120097
760000.0,-19.60544576449375
800000.0,-10.684028008343045
