steps,return
37235.0,-1.2747837915352478
76979.0,-0.9260382529798344
133107.0,936.7189712485501
172932.0,964.7707644158775
235990.0,964.1419206884405
301335.0,964.2227716675148
378462.0,964.5570054318097
472897.0,964.1676297803562
568669.0,965.3580599798258
678933.0,964.5662275914391
782202.0,964.5629513647679
890738.0,964.8523408201249
1006764.0,965.4820081915606
1121800.0,965.0182938048445
1233877.0,964.4459818428721
1347884.0,964.30057455352
1462911.0,964.8515469298244
1578134.0,964.1410957710428
1693161.0,964.410881557018
