index,flh,flk,frh,frk,blh,blk,brh,brk
70,5025,9310,9782,6048,5555,9483, 10500, 6119
69,5044,9330,9792,6087,5545,9473, 10480, 6100
68,5063,9349,9811,6106,5536,9445, 10470, 6081
67,5063,9378,9820,6125,5536,9417, 10461, 6062
66,5081,9397,9830,6145,5526,9388, 10432, 6052
65,5100,9407,9840,6164,5517,9378, 10422, 6023
64,5110,9445,9840,6184,5507,9339, 10412, 6004
63,5129,9464,9849,6193,5498,9320, 10383, 5985
62,5157,9483,9859,6242,5488,9301, 10373, 5956
61,5167,9511,9869,6251,5469,9272, 10354, 5927
60,5186,9540,9878,6271,5459,9252, 10335, 5898
59,5214,9587,9888,6319,5459,9233, 10325, 5870
58,5233,9616,9897,6338,5440,9204, 10286, 5831
57,5271,9654,9907,6368,5431,9175, 10257, 5802
56,5299,9682,9926,6406,5411,9146, 10228, 5764
55,5318,9711,9946,6445,5392,9117, 10189, 5745
54,5356,9720,9965,6474,5373,9088, 10160, 5707
53,5384,9739,9994,6513,5335,9068, 10131, 5668
52,5422,9777,10023,6552,5316,9030, 10102, 5659
51,5450,9796,10071,6600,5278,8991, 10073, 5630
50,5498,9796,10100,6629,5230,8971, 10034, 5601
49,5526,9825,10148,6687,5191,8933, 9995, 5601
48,5564,9844,10186,6716,5153,8894, 9956, 5591
47,5602,9872,10215,6745,5096,8865, 9927, 5582
46,5650,9882,10263,6765,5067,8836, 9869, 5554
45,5679,9891,10292,6755,5038,8816, 9840, 5554
44,5717,9910,10321,6735,5010,8807, 9811, 5525
43,5766,9910,10350,6716,4981,8797, 9782, 5506
42,5794,9910,10369,6687,4962,8797, 9753, 5497
41,5823,9901,10398,6668,4952,8826, 9753, 5506
40,5843,9882,10408,6629,4943,8846, 9753, 5516
39,5852,9853,10417,6610,4924,8865, 9753, 5525
38,5862,9806,10417,6581,4924,8894, 9782, 5544
37,5843,9777,10427,6571,4924,8923, 9791, 5563
36,5823,9739,10427,6542,4924,8942, 9811, 5582
