blh,blk,brh,brk,flh,flk,frh,frk,index
-0.005259806882296293,0.4005499802064605,-0.24155881727061077,0.1233392656631635,-0.21084667152060857,0.09977336131071592,-0.024062285580405015,0.40798770439661797,62
-0.00696724964414675,0.40136926406254597,-0.24433347634429134,0.1218993205292708,-0.21529198083568207,0.09946464716024574,-0.02561224453777907,0.4087101770416371,63
-0.008578548427168388,0.40112941905925675,-0.24675996634416042,0.1211805522670579,-0.21937825924750837,0.09986203881699367,-0.02799627290759501,0.4087871868390625,64
-0.009724238516319752,0.4002313525056287,-0.2485838164668123,0.12118576969085244,-0.2231509703501338,0.10088771644943077,-0.03078083356777592,0.4083627308144475,65
-0.01005397381252566,0.3996935744943039,-0.2503338479778424,0.12171464506483481,-0.2268375855284157,0.10240769294730286,-0.03332963639027871,0.40815787069359033,66
-0.01034677290643076,0.39907022479836646,-0.25181190868869363,0.12278842272767239,-0.22991483797311024,0.10430820037205558,-0.03549432920193946,0.4077808358699867,67
-0.01090812926790301,0.398174537698203,-0.2527988692456346,0.12429247813215315,-0.23222704266723562,0.10651107523466709,-0.03736150963474136,0.40700029716974734,68
-0.011862329918047056,0.3968720074021174,-0.25335914613177146,0.12634423123439492,-0.23406931969746736,0.10925538934547131,-0.039209707421897805,0.40569748977284925,69
-0.013091833575919401,0.39531949707001957,-0.25345425271056377,0.12867141170190255,-0.2353082057036583,0.11221203437195289,-0.040875435380650596,0.4040426015955145,70
-0.014699025220982043,0.39337502681878594,-0.25314246336851154,0.13148135881781128,-0.23614245955823152,0.11566398080916539,-0.04256527294396878,0.4018976369171394,71
-0.016595560400674732,0.3911417401874077,-0.2524702647932915,0.13461257355189493,-0.23654544432083982,0.11941483847371268,-0.04420589710001024,0.3993825215498497,72
-0.01863815108129087,0.38878248027374035,-0.25156021047934546,0.13785105012149468,-0.2365711418130216,0.12321857034081304,-0.04573375636152387,0.3966926287433029,73
-0.02111514635087805,0.38608494392147447,-0.25035629073271126,0.14154532476646162,-0.23625108638342954,0.12748445717146548,-0.04733402268328138,0.3935709959555665,74
-0.023803368384748474,0.3831794130389561,-0.2489353866206363,0.14551743544955237,-0.2355872515576686,0.13199793655020892,-0.04893761175597912,0.3901979319211315,75
-0.026514894038293938,0.3802292427570148,-0.2473967559951255,0.14954027264402547,-0.23465258137894598,0.13650465217474472,-0.05047637337224455,0.3867763116623857,76
-0.02954549789181697,0.37690992412877034,-0.24555831074572373,0.15405974844032705,-0.23335220106997562,0.14150612812802318,-0.05213240136034979,0.3829340271994753,77
